City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,nome,64.5011,-165.4064,265.19,93,100,2.57,US,1673155324
85,laguna,38.421,-121.4238,286.35,69,100,10.29,US,1673155792
86,perumpavur,10.1333,76.4833,303.1,54,0,1.54,IN,1673155792
87,jieshi,22.8134,115.8257,290.98,55,100,7.81,CN,1673155794
88,denpasar,-8.65,115.2167,304.96,66,20,4.63,ID,1673155597
89,sulangan,11.1373,123.7228,299.6,70,97,8.8,PH,1673155795
90,anadyr,64.75,177.4833,259.43,85,100,2.0,RU,1673155796
91,kavieng,-2.5744,150.7967,302.22,70,71,3.13,PG,1673155797
92,yanam,16.7333,82.2167,298.73,51,0,2.83,IN,1673155799
93,cairns,-16.9167,145.7667,304.85,80,100,3.09,AU,1673155800
94,chuy,-33.6971,-53.4616,292.75,82,1,4.24,UY,1673155435
95,sao luis de montes belos,-16.525,-50.3722,292.17,99,100,1.53,BR,1673155801
96,san patricio,28.017,-97.5169,295.55,94,17,4.16,US,1673155590
97,monmouth,40.3001,-74.1663,278.05,80,0,3.09,US,1673155803
98,fortuna,40.5982,-124.1573,286.34,92,100,9.77,US,1673155217
99,codrington,-38.2667,141.9667,301.91,33,3,5.97,AU,1673155717
100,brae,60.3964,-1.353,280.56,82,30,10.13,GB,1673155805
101,tali,9.4501,-1.1169,296.06,24,2,3.19,GH,1673155806
102,hilo,19.7297,-155.09,300.53,86,0,2.57,US,1673155711
103,mantua,45.1667,10.7833,281.12,92,99,0.45,IT,1673155807
104,chebsara,59.2002,38.8356,254.78,100,93,1.5,RU,1673155808
105,kochi,9.9399,76.2602,303.14,54,0,2.04,IN,1673155809
106,shitanjing,39.2342,106.3439,278.0,20,29,1.42,CN,1673155810
107,nikolskoye,59.7035,30.7861,255.32,83,80,2.89,RU,1673155649
108,necochea,-38.5473,-58.7368,291.47,80,40,6.72,AR,1673155811
109,dikson,73.5069,80.5464,254.85,94,100,2.86,RU,1673155280
110,maceio,-9.6658,-35.7353,295.84,94,20,2.06,BR,1673155307
111,wajima,37.4,136.9,278.53,87,75,0.51,JP,1673155800
112,marawi,7.9986,124.2928,293.53,90,100,2.07,PH,1673155814
113,ilulissat,69.2167,-51.1,259.16,61,53,1.03,GL,1673155805
114,aksarka,66.5606,67.7975,231.14,100,55,1.0,RU,1673155816
115,airai,-8.9266,125.4092,295.3,65,70,1.94,TL,1673155818
116,ocala,29.1872,-82.1401,282.56,83,0,0.0,US,1673155819
117,la paz,-16.5,-68.15,281.14,93,75,3.6,BO,1673155801
118,kaitangata,-46.2817,169.8464,289.9,63,0,6.75,NZ,1673155614
119,ciudad real,39.0,-4.0,284.9,97,100,3.13,ES,1673155821
120,esperance,-33.8667,121.9,293.6,57,0,5.46,AU,1673155435
121,pochutla,15.7432,-96.4661,295.27,60,0,2.0,MX,1673155822
122,zabol,32.25,67.25,273.68,100,100,1.08,AF,1673155781
123,bambous virieux,-20.3428,57.7575,301.29,69,75,5.14,MU,1673155824
124,saint-philippe,-21.3585,55.7679,301.92,75,19,4.92,RE,1673155759
125,faanui,-16.4833,-151.75,300.7,67,37,1.65,PF,1673155829
126,bengkulu,-3.8004,102.2655,301.85,65,90,4.9,ID,1673155806
127,arraial do cabo,-22.9661,-42.0278,294.62,87,100,5.7,BR,1673155807
128,saskylakh,71.9167,114.0833,237.12,99,100,1.52,RU,1673155525
129,seminole,28.7086,-81.2081,287.16,91,0,1.54,US,1673155831
130,honiara,-9.4333,159.95,301.52,77,100,1.83,SB,1673155832
131,umba,66.6871,34.3429,254.68,97,81,0.37,RU,1673155833
132,rio grande,-32.035,-52.0986,294.05,74,4,5.82,BR,1673155834
133,morondava,-20.2833,44.2833,300.67,71,73,1.72,MG,1673155571
134,twentynine palms,34.1356,-116.0542,284.74,55,100,1.5,US,1673155835
135,upernavik,72.7868,-56.1549,247.27,94,26,4.51,GL,1673155583
136,bambanglipuro,-7.95,110.2833,301.68,69,43,3.85,ID,1673155821
137,broome,42.2506,-75.833,272.41,76,100,5.66,US,1673155838
138,lagoa,39.05,-27.9833,289.46,85,95,10.9,PT,1673155505
139,porto novo,6.4965,2.6036,299.05,91,44,1.12,BJ,1673155840
140,mar del plata,-38.0023,-57.5575,294.87,91,75,7.6,AR,1673155617
141,thinadhoo,0.5333,72.9333,299.41,80,63,3.85,MV,1673155841
142,ruidoso,33.3317,-105.673,276.77,34,8,2.06,US,1673155842
143,lugo,43.0,-7.5,283.58,98,100,1.79,ES,1673155842
144,richards bay,-28.783,32.0377,294.2,71,14,3.16,ZA,1673155830
145,muros,42.7762,-9.0603,285.42,94,100,4.79,ES,1673155558
146,nanortalik,60.1432,-45.2371,269.13,76,100,2.73,GL,1673155555
147,kisangani,0.5167,25.2,296.6,59,100,0.81,CD,1673155845
148,nantucket,41.2835,-70.0995,277.21,75,0,6.17,US,1673155845
149,wanning,18.8003,110.3967,293.04,92,100,3.78,CN,1673155677
150,chokurdakh,70.6333,147.9167,243.97,98,100,2.07,RU,1673155847
151,ribeira grande,38.5167,-28.7,290.25,93,68,6.71,PT,1673155491
152,bonavista,48.6499,-53.1147,271.16,80,57,0.91,CA,1673155848
153,ugoofaaru,5.6667,73.0,300.16,74,42,4.82,MV,1673155309
154,fostoria,41.157,-83.4169,273.83,79,17,2.24,US,1673155850
155,burns lake,54.2331,-125.7533,265.83,95,100,1.0,CA,1673155850
156,makakilo city,21.3469,-158.0858,296.17,78,0,3.09,US,1673155852
157,atar,20.5169,-13.0499,291.46,20,100,5.34,MR,1673155853
158,bathsheba,13.2167,-59.5167,299.49,78,20,9.77,BB,1673155854
159,khatanga,71.9667,102.5,235.36,100,100,1.46,RU,1673155774
160,kokologo,12.1897,-1.8856,292.83,25,8,4.33,BF,1673155856
161,ritchie,-29.038,24.6028,296.92,36,0,4.77,ZA,1673155857
162,palmer,42.1584,-72.3287,272.9,74,0,3.09,US,1673155858
163,hervey bay,-25.2986,152.8535,299.23,67,33,6.99,AU,1673155591
164,lavrentiya,65.5833,-171.0,251.46,97,44,2.46,RU,1673155860
165,adrar,20.5022,-10.0711,289.54,19,100,5.64,MR,1673155577
166,labuhan,-6.8844,112.2051,303.04,64,92,3.22,ID,1673155861
167,aras,42.5617,-2.356,281.9,93,75,0.51,ES,1673155862
168,kotaparh,19.15,82.35,297.19,13,0,2.97,IN,1673155863
169,bukoba,-1.3317,31.8122,293.69,62,99,1.03,TZ,1673155634
170,kodiak,57.79,-152.4072,271.88,69,0,9.77,US,1673155523
171,road town,18.4167,-64.6167,297.2,80,11,6.44,VG,1673155865
172,tarakan,3.3,117.6333,300.87,78,40,2.06,ID,1673155601
173,muisne,0.6,-80.0333,297.39,82,96,2.58,EC,1673155866
174,klaksvik,62.2266,-6.589,279.66,86,83,10.89,FO,1673155581
175,vestmanna,62.1564,-7.1664,278.66,93,100,8.75,FO,1673155541
176,lebu,-37.6167,-73.65,286.67,92,57,3.08,CL,1673155606
177,kaura namoda,12.5898,6.5779,289.6,23,8,4.54,NG,1673155700
178,cabo san lucas,22.8909,-109.9124,294.55,83,0,1.79,MX,1673155596
179,abapo,-18.8333,-63.4667,292.33,75,97,1.76,BO,1673155869
180,saldanha,-33.0117,17.9442,288.18,85,0,3.74,ZA,1673155769
181,tuzha,57.6062,47.936,242.94,100,93,2.67,RU,1673155870
182,sault sainte marie,46.5168,-84.3333,265.05,92,100,3.09,CA,1673155871
183,sept-iles,50.2001,-66.3821,263.15,61,75,6.69,CA,1673155872
184,merauke,-8.4667,140.3333,302.26,72,100,2.99,ID,1673155827
185,rio gallegos,-51.6226,-69.2181,285.18,82,0,1.03,AR,1673155171
186,dalvik,65.9702,-18.5286,274.11,99,100,6.77,IS,1673155873
187,sao filipe,14.8961,-24.4956,295.4,69,7,4.73,CV,1673155874
188,avarua,-21.2078,-159.775,298.18,83,75,1.03,CK,1673155587
189,iqaluit,63.7506,-68.5145,247.0,70,20,10.29,CA,1673155578
190,lorengau,-2.0226,147.2712,301.9,72,97,1.65,PG,1673155876
191,salalah,17.0151,54.0924,298.2,65,20,1.03,OM,1673155577
192,tupelo,34.2576,-88.7034,288.09,91,100,1.54,US,1673155877
193,kosovo polje,42.6394,21.0961,272.71,86,75,1.03,XK,1673155878
