City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,hobart,-42.8794,147.3294,17.25,89,76,0.0,AU,1674576517
66,lavrentiya,65.5833,-171.0,-26.069999999999965,96,33,4.96,RU,1674576698
67,mar del plata,-38.0023,-57.5575,27.390000000000043,40,61,9.92,AR,1674576698
68,upernavik,72.7868,-56.1549,-17.49999999999997,77,100,2.39,GL,1674576699
69,nkwerre,5.7556,7.1063,36.89000000000004,20,47,3.97,NG,1674576699
70,angoram,-4.0625,144.0661,22.890000000000043,99,100,0.62,PG,1674576700
71,waingapu,-9.6567,120.2641,26.390000000000043,80,99,0.58,ID,1674576700
72,peleduy,59.6289,112.7406,-29.99999999999997,94,100,1.46,RU,1674576701
73,tual,-5.6667,132.75,27.83000000000004,79,100,4.94,ID,1674576487
74,touros,-5.1989,-35.4608,29.610000000000014,57,65,5.93,BR,1674576187
75,asahi,35.7167,140.65,-2.1200000000000045,41,100,7.56,JP,1674576548
76,batamshinskiy,50.5594,58.2747,-17.49999999999997,95,5,0.12,KZ,1674576703
77,san antonio,29.4241,-98.4936,11.260000000000048,94,100,4.63,US,1674576704
78,norman wells,65.282,-126.8329,-19.98999999999998,98,100,1.09,CA,1674576705
79,prescott,34.54,-112.4685,-0.060000000000002274,69,0,3.09,US,1674576705
80,san cristobal,7.7669,-72.225,22.100000000000023,51,87,3.42,VE,1674576637
81,yerbogachen,61.2767,108.0108,-36.389999999999986,97,100,1.06,RU,1674576706
82,birao,10.2849,22.7882,31.80000000000001,9,96,2.46,CF,1674576707
83,katherine,-14.4667,132.2667,25.180000000000007,94,75,3.09,AU,1674576707
84,san carlos de bariloche,-41.1456,-71.3082,13.470000000000027,56,32,6.95,AR,1674576708
85,constitucion,-35.3333,-72.4167,20.370000000000005,70,64,6.71,CL,1674576708
86,nhulunbuy,-12.2333,136.7667,26.340000000000032,94,40,0.0,AU,1674576709
87,madimba,-10.4,40.3333,26.200000000000045,87,100,4.64,TZ,1674576709
88,alexandria,31.2156,29.9553,16.879999999999995,66,0,5.77,EG,1674576710
89,fortuna,40.5982,-124.1573,3.1899999999999977,100,0,4.12,US,1674576711
90,cascais,38.6979,-9.4215,13.620000000000005,44,0,9.83,PT,1674576548
91,shizunai,42.3339,142.3669,-10.639999999999986,66,99,11.19,JP,1674576711
92,clarence town,-32.5833,151.7833,22.700000000000045,98,19,0.45,AU,1674576712
93,vila velha,-20.3297,-40.2925,30.970000000000027,80,40,3.6,BR,1674576658
94,kalangala,-0.3089,32.225,26.640000000000043,65,97,4.86,UG,1674576713
95,cherskiy,68.75,161.3,-31.94999999999999,99,100,1.01,RU,1674576714
96,kodiak,57.79,-152.4072,2.730000000000018,87,100,2.06,US,1674576714
97,bredasdorp,-34.5322,20.0403,19.04000000000002,48,86,7.86,ZA,1674576715
98,kulhudhuffushi,6.6221,73.07,24.400000000000034,86,100,2.89,MV,1674576676
99,ibra,22.6906,58.5334,15.360000000000014,64,100,1.55,OM,1674576716
100,krasnoslobodsk,48.7072,44.5714,-4.099999999999966,68,0,5.0,RU,1674576716
101,saint-philippe,-21.3585,55.7679,24.77000000000004,91,100,6.69,RE,1674576717
102,souillac,-20.5167,57.5167,23.25,91,100,0.54,MU,1674576717
103,east london,-33.0153,27.9116,18.52000000000004,82,75,8.23,ZA,1674576718
104,goderich,43.7501,-81.7165,1.6200000000000045,74,100,8.69,CA,1674576718
105,severo-kurilsk,50.6789,156.125,-4.839999999999975,72,100,9.99,RU,1674576719
106,thinadhoo,0.5333,72.9333,27.110000000000014,77,100,5.84,MV,1674576719
107,lompoc,34.6391,-120.4579,8.100000000000023,77,0,4.12,US,1674576720
108,fukue,32.6881,128.8419,0.82000000000005,77,100,15.59,JP,1674576682
109,lae,-6.7221,146.9847,23.510000000000048,91,94,2.88,PG,1674576722
110,bereda,43.2686,-7.5406,6.75,97,70,3.98,ES,1674576722
111,neftcala,39.3742,49.2472,5.310000000000002,63,3,1.93,AZ,1674576723
112,itarema,-2.9248,-39.9167,29.57000000000005,60,60,4.02,BR,1674576724
113,belyy yar,53.6039,91.3903,-8.060000000000002,68,0,7.0,RU,1674576724
114,tiksi,71.6872,128.8694,-30.889999999999986,99,100,2.26,RU,1674576725
115,davidson,36.1501,-86.7833,7.400000000000034,75,0,3.09,US,1674576726
116,hilo,19.7297,-155.09,21.82000000000005,95,100,3.6,US,1674576726
117,oranjemund,-28.55,16.4333,19.950000000000045,77,0,10.52,NA,1674576603
118,uglovskoye,51.3557,80.1942,-11.20999999999998,95,100,4.81,RU,1674576728
119,seoul,37.5683,126.9778,-15.310000000000002,33,0,4.61,KR,1674576446
120,labuhan,-6.8844,112.2051,25.82000000000005,86,100,1.47,ID,1674576302
121,vilhena,-12.7406,-60.1458,24.760000000000048,87,100,3.06,BR,1674576729
122,ulladulla,-35.35,150.4667,19.189999999999998,91,94,0.19,AU,1674576730
123,clyde river,70.4692,-68.5914,-30.70999999999998,91,100,2.61,CA,1674576730
124,airai,-8.9266,125.4092,16.29000000000002,94,100,0.48,TL,1674576731
125,coihaique,-45.5752,-72.0662,14.340000000000032,44,40,4.63,CL,1674576731
126,biala podlaska,52.0324,23.1165,1.4800000000000182,85,99,2.06,PL,1674576531
127,vaini,-21.2,-175.2,25.090000000000032,94,20,2.06,TO,1674576732
128,dikson,73.5069,80.5464,-20.379999999999967,95,100,14.75,RU,1674576733
129,mukhen,48.1,136.1,-34.809999999999974,99,89,0.74,RU,1674576733
130,korla,41.7597,86.1469,-13.069999999999993,69,34,1.77,CN,1674576734
131,kaitangata,-46.2817,169.8464,9.090000000000032,95,33,1.55,NZ,1674576734
132,sungaipenuh,-2.0833,101.3833,17.600000000000023,96,100,0.58,ID,1674576735
133,oranjestad,12.524,-70.027,25.480000000000018,84,98,11.22,AW,1674576621
134,bay roberts,47.5999,-53.2648,7.25,92,100,3.58,CA,1674576280
135,sao jose da laje,-9.0097,-36.0583,33.56,31,0,4.85,BR,1674576737
136,santa cruz de tenerife,28.4682,-16.2546,19.840000000000032,74,75,4.12,ES,1674576737
137,san policarpo,12.1791,125.5072,25.900000000000034,78,58,7.99,PH,1674576738
138,kalang,5.9197,121.3631,25.620000000000005,87,100,4.56,PH,1674576738
139,atikokan,48.7555,-91.6216,-12.659999999999968,93,100,1.3,CA,1674576739
140,svarstad,59.399,9.9698,4.340000000000032,45,100,1.68,NO,1674576739
141,hithadhoo,-0.6,73.0833,27.07000000000005,76,72,6.2,MV,1674576741
142,pevek,69.7008,170.3133,-25.549999999999983,74,94,1.48,RU,1674576741
143,yellowknife,62.456,-114.3525,-22.74999999999997,100,86,2.34,CA,1674576742
144,povenets,62.8487,34.8262,-3.5299999999999727,95,97,2.69,RU,1674576742
145,bolotnoye,55.6717,84.3981,-11.379999999999995,95,100,3.31,RU,1674576703
146,kruisfontein,-34.0033,24.7314,19.379999999999995,70,77,8.9,ZA,1674576743
147,cabo san lucas,22.8909,-109.9124,19.170000000000016,65,40,2.06,MX,1674576744
148,berwick,41.0545,-76.2333,4.0,72,46,1.34,US,1674576660
149,wawa,9.9022,4.4192,35.120000000000005,13,63,1.93,NG,1674576745
150,sosnogorsk,63.6023,53.8817,-11.989999999999952,94,85,3.54,RU,1674576745
151,fasa,28.9383,53.6482,8.680000000000007,58,95,0.6,IR,1674576746
152,roma,43.2128,-75.4557,1.0900000000000318,83,100,4.63,US,1674576746
153,castro,-24.7911,-50.0119,27.02000000000004,52,0,1.36,BR,1674576747
154,tasiilaq,65.6145,-37.6368,-7.909999999999968,67,99,2.78,GL,1674576747
155,tondi,9.7333,79.0167,24.79000000000002,73,100,7.14,IN,1674576748
156,walvis bay,-22.9575,14.5053,21.160000000000025,61,99,9.8,NA,1674576748
157,cidreira,-30.1811,-50.2056,27.75,64,1,4.9,BR,1674576749
158,sosnovka,56.255,51.2842,-16.899999999999977,97,81,2.2,RU,1674576749
159,okakarara,-20.5833,17.4333,26.03000000000003,46,79,7.41,NA,1674576750
160,vezirkopru,41.1436,35.4547,6.270000000000039,81,25,2.03,TR,1674576751
161,barcelos,41.5388,-8.6151,12.600000000000023,51,0,0.96,PT,1674576752
162,new norfolk,-42.7826,147.0587,17.060000000000002,73,71,0.56,AU,1674576752
163,khatanga,71.9667,102.5,-39.349999999999966,96,70,3.19,RU,1674576752
164,bassila,9.0081,1.6654,36.39000000000004,13,3,2.6,BJ,1674576753
165,liberal,37.0431,-100.921,0.5800000000000409,100,100,1.54,US,1674576753
166,aklavik,68.2191,-135.0107,-22.42999999999998,98,100,4.49,CA,1674576754
167,petropavlovsk-kamchatskiy,53.0452,158.6483,-19.569999999999965,70,39,3.02,RU,1674576631
168,padang,-0.9492,100.3543,24.03000000000003,75,99,2.03,ID,1674576616
169,mangrol,21.1167,70.1167,18.110000000000014,38,0,6.3,IN,1674576755
